epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9268,0.89725,2.17323,1.28959,0.74325,0.14482,0.53795,0.26484,1.22428,2.90994,2.0559,0.00048,0.00048,0.00048
2,24.6921,0.88632,1.58854,1.27446,0.4209,0.53301,0.49327,0.23765,1.44992,2.84726,2.3758,0.000960596,0.000960596,0.000960596
3,36.595,0.9771,1.59562,1.3383,0.32207,0.30487,0.2539,0.10413,2.10061,2.94115,3.48825,0.00142139,0.00142139,0.00142139
4,48.2948,1.08991,1.60359,1.41672,0.51342,0.50833,0.41337,0.18165,1.83313,2.84624,3.39299,0.00186239,0.00186239,0.00186239
5,59.886,1.05151,1.47647,1.39282,0.35702,0.51667,0.37393,0.13762,1.9965,3.88147,3.05714,0.0018416,0.0018416,0.0018416
6,70.9435,0.99243,1.35703,1.33385,0.28006,0.44167,0.2822,0.14241,1.82951,2.63501,2.49902,0.001802,0.001802,0.001802
7,81.9312,0.98897,1.29868,1.3283,0.52001,0.63333,0.57145,0.33117,1.34473,4.84637,2.1241,0.0017624,0.0017624,0.0017624
8,93.0699,0.97193,1.19406,1.31263,0.77794,0.625,0.6709,0.4021,1.32879,1.93712,2.0307,0.0017228,0.0017228,0.0017228
9,104.591,0.99723,1.2657,1.34397,0.81753,0.74675,0.80137,0.50622,1.26756,1.38736,1.93829,0.0016832,0.0016832,0.0016832
10,116.017,0.964,1.1254,1.32723,0.8473,0.75,0.82516,0.56509,1.22067,1.3818,1.98601,0.0016436,0.0016436,0.0016436
11,127.598,0.92278,1.05979,1.27574,0.52795,0.46667,0.49235,0.27218,1.53612,1.93946,2.03938,0.001604,0.001604,0.001604
12,138.75,0.93802,1.07311,1.29561,0.78991,0.75,0.81475,0.48998,1.26789,1.71903,1.9086,0.0015644,0.0015644,0.0015644
13,149.771,0.90353,1.06852,1.26825,0.88623,0.63333,0.76646,0.49313,1.15566,1.45029,1.80796,0.0015248,0.0015248,0.0015248
